pipeline,mean,std,count
csp+lda,0.48355472490501183,0.12966036951228518,433
csp+lr,0.48563713461642455,0.12863335916388297,433
psd_riem+lda,0.3233949694573597,0.0602349058806737,433
psd_riem+lr,0.34354069267075005,0.07202795175783279,433
psd_riem+svm_lin,0.32554563296232536,0.06286950719041048,433
psd_riem+svm_rbf,0.3656424353054553,0.08296016427786165,433
riem+lda,0.4929977707031417,0.11714814650423183,433
riem+lr,0.5613441278009437,0.13171088855405286,433
riem+svm_lin,0.4936728884937031,0.12568556776432618,433
riem+svm_rbf,0.5522478345359996,0.1241638294881724,433
