score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,channels_used
0.30743828,10.763821,403.0,1,1,21,11,Stieger2021,maxcorr+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.38959876,0.48022532,403.0,1,1,21,11,Stieger2021,car+riem+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.23817901,10.673996,403.0,1,1,21,11,Stieger2021,maxcorr+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.36950618,0.4832913,403.0,1,1,21,11,Stieger2021,csp+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.365,0.4867146,403.0,1,1,21,11,Stieger2021,riem+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.41175926,0.4260057,403.0,1,1,21,11,Stieger2021,car+csp+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.3722531,10.495838,403.0,1,1,21,11,Stieger2021,car+maxcorr+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.3996605,0.44943553,403.0,1,1,21,11,Stieger2021,car+csp+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.53833336,0.47766382,403.0,1,1,21,11,Stieger2021,riem+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.51626545,0.49040762,403.0,1,1,21,11,Stieger2021,car+riem+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.38478395,0.427842,403.0,1,1,21,11,Stieger2021,csp+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.35881206,10.388421,393.0,1,3,21,11,Stieger2021,maxcorr+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.46809477,0.42458344,393.0,1,3,21,11,Stieger2021,car+riem+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.3027913,10.403351,393.0,1,3,21,11,Stieger2021,maxcorr+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.4170724,0.45215136,393.0,1,3,21,11,Stieger2021,csp+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.4350211,0.44146317,393.0,1,3,21,11,Stieger2021,riem+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.4506329,0.45557174,393.0,1,3,21,11,Stieger2021,car+csp+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.34599155,10.230822,393.0,1,3,21,11,Stieger2021,car+maxcorr+lr,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
0.4426485,0.45752233,393.0,1,3,21,11,Stieger2021,car+csp+lda,"FC5,FC3,FC1,FCz,FC2,FC4,FC6,C5,C3,C1,Cz,C2,C4,C6,CP5,CP3,CP1,CPz,CP2,CP4,CP6"
