score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.67333335,0.110725835,205.0,1,1,21,11,Stieger2021,csp+lr
0.81411105,0.11249404,200.0,1,2,21,11,Stieger2021,csp+lr
0.7880476,0.096405074,203.0,1,3,21,11,Stieger2021,csp+lr
0.87062657,0.09660578,204.0,1,4,21,11,Stieger2021,csp+lr
0.92164505,0.09746909,212.0,1,5,21,11,Stieger2021,csp+lr
0.8755952,0.10589452,202.0,1,6,21,11,Stieger2021,csp+lr
0.6161905,0.25355425,205.0,1,1,21,11,Stieger2021,riem+lda
0.71738815,0.23655443,200.0,1,2,21,11,Stieger2021,riem+lda
0.72519046,0.22027192,203.0,1,3,21,11,Stieger2021,riem+lda
0.8496628,0.22391982,204.0,1,4,21,11,Stieger2021,riem+lda
0.81488353,0.25725332,212.0,1,5,21,11,Stieger2021,riem+lda
0.8810238,0.22671461,202.0,1,6,21,11,Stieger2021,riem+lda
0.84809524,0.23330116,205.0,1,1,21,11,Stieger2021,riem+lr
0.8423711,0.21432786,200.0,1,2,21,11,Stieger2021,riem+lr
0.86561906,0.21538806,203.0,1,3,21,11,Stieger2021,riem+lr
0.94233084,0.22964649,204.0,1,4,21,11,Stieger2021,riem+lr
0.96402806,0.23485374,212.0,1,5,21,11,Stieger2021,riem+lr
0.92814285,0.21594448,202.0,1,6,21,11,Stieger2021,riem+lr
0.5966667,0.11162801,205.0,1,1,21,11,Stieger2021,csp+svm
0.8348447,0.11801219,200.0,1,2,21,11,Stieger2021,csp+svm
0.77835715,0.09515176,203.0,1,3,21,11,Stieger2021,csp+svm
0.90083617,0.09915352,204.0,1,4,21,11,Stieger2021,csp+svm
0.9048856,0.10487638,212.0,1,5,21,11,Stieger2021,csp+svm
0.87819046,0.112946846,202.0,1,6,21,11,Stieger2021,csp+svm
0.8257143,0.22754058,205.0,1,1,21,11,Stieger2021,riem+svm
0.8247892,0.20738988,200.0,1,2,21,11,Stieger2021,riem+svm
0.8546905,0.2151444,203.0,1,3,21,11,Stieger2021,riem+svm
0.94671226,0.21353126,204.0,1,4,21,11,Stieger2021,riem+svm
0.95322615,0.22741985,212.0,1,5,21,11,Stieger2021,riem+svm
0.9374524,0.21856146,202.0,1,6,21,11,Stieger2021,riem+svm
0.7095238,0.15239152,205.0,1,1,21,11,Stieger2021,csp+lda
0.80789477,0.09480681,200.0,1,2,21,11,Stieger2021,csp+lda
0.7565238,0.09827294,203.0,1,3,21,11,Stieger2021,csp+lda
0.87995213,0.09603028,204.0,1,4,21,11,Stieger2021,csp+lda
0.9232942,0.09764151,212.0,1,5,21,11,Stieger2021,csp+lda
0.89342856,0.13338336,202.0,1,6,21,11,Stieger2021,csp+lda
