pipeline,mean,std,count
car+csp+lda,0.49092780630573246,0.11988350928796282,157
car+csp+lr,0.4872247207643312,0.11937050363174798,157
car+maxcorr+lr,0.43243970324840764,0.09379996582641444,157
car+riem+lda,0.4619669305095541,0.09655051602614259,157
car+riem+lr,0.6258322850318471,0.12296258647252524,157
csp+lda,0.490137267133758,0.12038216214783448,157
csp+lr,0.4874431235031847,0.11939895545016058,157
maxcorr+lda,0.33171962751592354,0.05555872888414521,157
maxcorr+lr,0.4052535684076433,0.08681566459778786,157
riem+lda,0.4313071601910828,0.0914892541327546,157
riem+lr,0.6226313515923567,0.12222089584887715,157
